'	exclamation	lex112884.1_ἒ
Ζηνοδότῳ	noun	lex2430.1_Ζηνόδοτος
Ζηνόδoτος	noun	lex2430.1_Ζηνόδοτος
Ζηνόδοτον	noun	lex2430.1_Ζηνόδοτος
Ζηνόδοτος	noun	lex2430.1_Ζηνόδοτος
Ζηνόδωρος	noun	lex2431.1_Ζηνόδωρος
Ζηνὸς	noun	lex2415.1_Ζεύς
θρηνώδους	adjective	lex28604.1_θρηνώδης
θρηνῶν	verb	lex28591.1_θρηνέω
θριξὶ	noun	lex28509.1_θρίξ
θροῦν	verb	lex28496.1_θρέω
θροῦν	noun	lex28698.1_θρόος
θρυώδη	adjective	lex28688.1_θρυώδης
θρωσμὸς	noun	lex28690.1_θρωσμός
θρωσμῷ	noun	lex28690.1_θρωσμός
θρόνου	noun	lex28695.1_θρόνον
θρόνου	noun	lex28696.1_θρόνος
θρόνῳ	noun	lex28695.1_θρόνον
θρόνῳ	noun	lex28696.1_θρόνος
θρόος	noun	lex28698.1_θρόος
θρώσκει	verb	lex28725.1_θρῴσκω
θρέψας	verb	lex75063.1_τρέφω
θρῆνον	noun	lex28718.1_θρῆνος
θρῆνος	noun	lex28718.1_θρῆνος
θρῆνυν	noun	lex28720.1_θρῆνυς
θυγάτηρ	noun	lex28744.1_θυγάτηρ
θυγατέρα	noun	lex28744.1_θυγάτηρ
θυγατέρας	noun	lex28744.1_θυγάτηρ
θυγατέρες	noun	lex28744.1_θυγάτηρ
θυγατέρος	noun	lex28744.1_θυγάτηρ
θυγατέρων	noun	lex28744.1_θυγάτηρ
θυγατράσι	noun	lex28744.1_θυγάτηρ
θυγατράσιν	noun	lex28744.1_θυγάτηρ
θυγατρὶ	noun	lex28744.1_θυγάτηρ
θυγατρὸς	noun	lex28744.1_θυγάτηρ
θυγατέρα	noun	lex28744.1_θυγάτηρ
θυγατέρας	noun	lex28744.1_θυγάτηρ
θυγατέρες	noun	lex28744.1_θυγάτηρ
θυγατέρων	noun	lex28744.1_θυγάτηρ
θυγάτηρ	noun	lex28744.1_θυγάτηρ
θυηλάς	noun	lex28770.1_θυηλή
θυηλή	noun	lex28770.1_θυηλή
θυμήρει	adjective	lex28820.1_θυμαρής
θυμαρής	adjective	lex28820.1_θυμαρής
θυμαρὲς	adjective	lex28820.1_θυμαρής
θυμαρέα	adjective	lex28820.1_θυμαρής
θυμιάσαι	verb	lex28838.1_θυμιάω
θυμιάσαι	verb	lex28837.1_θυμιάζω
θυμιαμάτων	noun	lex28807.1_θυμίαμα
θυμικώτερον	adjective	lex28847.1_θυμικός
θυμικὸν	adjective	lex28847.1_θυμικός
θυμικῷ	adjective	lex28847.1_θυμικός
θυμιᾶσαι	verb	lex28838.1_θυμιάω
θυμιᾶσαι	verb	lex28837.1_θυμιάζω
θυμοβόροιο	adjective	lex28850.1_θυμοβόρος
