urn:cts:greekLit:tlg5026.msA.hmt:1.1.lemma	  μῆνιν ἄειδε
urn:cts:greekLit:tlg5026.msA.hmt:1.1.comment	  ζητοῦσι δια τί ἀπὸ τῆς μήνιδος ἤρξατο οὕτως δυσφήμου ὀνόματος· δια δύο ταῦτα· πρῶτον μὲν ἵν' ἐκ τοῦ πάθους ἀπκαταῥρεύσῃ τὸ τοιοῦτο μόριον τῆς ψυχῆς καὶ προσεκτικωτέρους τοὺς ἀκροατὰς ἐπι τοῦ μεγέθους ποιήσῃ καὶ προσεθίζῃ φέρειν γενναίως ἡμᾶς τὰ πάθη. μέλλων πολλέμους ἀπαγγέλλειν· δεύτερον. ἵνα τὰ ἐγκώμια τῶν Ἑλλήνων πιθανώτερα ποιήσῃ· ἐπεὶ δὲ ἔμελλε, νικωντας ἀποφαίνειν τοὺς Ἑλληνας, εἰκότως οὐ κατατρέχει ἀξιοπιστότερον ἐκ τοῦ μὴ παντα χαρίζεσθαι τῷ εκείνων ἐπαίνῳ· ἤρξατο μὲν ἀπὸ μήνιδος ἐπείπερ αὕτη τοῖς πρακτικοῖς ὑπόθεσις γέγονεν· ἄλλῳς τε καὶ τραγῳδίαις τραγικὸν ἐξεῦρε προοίμιον· καὶ γὰρ προσεκτικοὺς ἡμᾶς ἡ τῶν ἀτυχημάτων διήγησις ἐργάζεται· καὶ ὡς ἄριστος ϊατρὸς, πρῶτον ἀναστέλλων τὰ νοσήματα τῆς ψυχῆς ὕστερον τὴν ΐασιν ἐπάγει.  Ἑλληνικὸν δὲ τὸ προ τέλει τὰς ηδονὰς ἐπάγειν· ῾ϊστέον δέ, ὥσπερ ἐπι συκῆς πρωτον μέν ἐστιν όλυνθος εἶτα φίλιξ σύκον ϊσχάς. οὕτω πρῶτον·  ὀργή ·  θυμός ·  χόλος ·  κότος ·  μῆνις · ὅμως ὁ ποιητὴς ὡς συνωνύμοις ὀνόμασιν ἐπὶ  Ἀχιλλεως χρῆται   ἢἐ  χόλ  ο ν παύσειεν, ἐρητύσειε τε θυμόν  urn:cts:greekLit:tlg0012.tlg001:1.192 ·   οὐδ' ὄθομαι κοτέοντος  urn:cts:greekLit:tlg0012.tlg001:1.181 ,   αὐτὰρ ὁ μήνιε νηυσίν  urn:cts:greekLit:tlg0012.tlg001:1.488 ·
urn:cts:greekLit:tlg5026.msA.hmt:1.2.lemma	  μῆνις
urn:cts:greekLit:tlg5026.msA.hmt:1.2.comment	  παρὰ τὸ  μένω  μῆνις ὡς  ἐνὸς  ἦνις · οἱ δὲ περὶ  Γλαύκωνα τὸν   Ταρ  σέα ἠξίουν ὀξύνειν τὸ ὄνομα οὐκ ὀρθῶς.
urn:cts:greekLit:tlg5026.msA.hmt:1.3.lemma	  ἄειδε
urn:cts:greekLit:tlg5026.msA.hmt:1.3.comment	  ὅτι κατὰ τὴν ποιητικὴν ἤτοι άδειαν ἠ συνήθειαν λαμβάνει τὰ προστακτικὰ ἀντι εὐκτικῶν· καὶ γὰρ  Ἡσίοδός φησι·  δεῦτε δὴ ἐννέπετε  opp.2 , καὶ  Πίνδαρος ·  μαντεύο  Μοῦσα  fr. 150 sn.  , καὶ  Ἀντίμαχος ὁ   Κολοφ  ώνιος.  ἐννέπετε   Κρονί  ανος Διὸς  μεγάλοιο θύγατρες  fr. 1 w · δευτερον δὲ ὅτι οὐ κατὰ ἀλήθειαν ταῖς  Μούσαις ἐπιτάσσουσιν, ἀλλ' ἑαυτοῖς⁑
urn:cts:greekLit:tlg5026.msA.hmt:1.4.lemma	  θεά
urn:cts:greekLit:tlg5026.msA.hmt:1.4.comment	  οὕτως εἴωθε τὴν  Μοῦσαν καλεῖν· ἀμέλει καὶ ἐν  Ὀδυσσεία ·   ἄνδρα μοι ἔννεπε  Μοῦσα  urn:cts:greekLit:tlg0012.tlg002:1.1 ⁑
urn:cts:greekLit:tlg5026.msA.hmt:1.5.lemma	   Πηληϊάδεω  Ἀχιλῆος
urn:cts:greekLit:tlg5026.msA.hmt:1.5.comment	  οὕτως ἀναγνωστεον δια τοῦ ενὸς  λ καὶ διὰ τὸ μέτρον καὶ διὰ τὸ ἄχος ὅ ἐστι λύπην ἐπενεγκεῖν τοῖς Ἰλιεῦσιν, οἱ δὲ παρὰ τὸ μὴ θιγεῖν χείλεσι θηλῆς ὅλως γὰρ οὐ μετέσχε γάλακτος⁑
urn:cts:greekLit:tlg5026.msA.hmt:1.6.lemma	  μυρία
