urn:cts:greekLit:tlg0012.tlg001.hmt01:10.1	 Alongside the ships the other best aristos men of the Panachaeans
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.2	 slept all night long, subdued by gentle sleep,
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.3	 but not the son of Atreus, Agamemnon, the shepherd of the warriors—
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.4	 sweet sleep did not hold him, as he pondered many things in his mind phrên.
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.5	 As when the husband of Hera with her beautiful hair hurls lightning, 
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.6	 creating an indescribable amount of rain or hail
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.7	 or falling snow, when snow sprinkles the fields,
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.8	 or the great jaws of crowded battle,
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.9	 so did the groans in the breast of Agamemnon come thick and fast pukinos
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.10	 from the bottom of his heart, and his insides phrên were trembling. 
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.11	 Whenever he gazed out at the Trojan plain,
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.12	 he was amazed at the many fires that burned before Ilium,
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.13	 and at the shout of flutes and of pipes and the clamor of men.
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.14	 And then when he looked at the ships and the Achaean warriors,
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.15	 over and over he tore hair from his head by the roots 
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.16	 to Zeus on high, and he groaned greatly in his glorious kudos heart.
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.17	 This is the plan that seemed best aristos to his likingthumos,
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.18	 to go first to Nestor first among the men, the descendant of Neleus,
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.19	 to find out if he could construct a faultless scheme mêtis
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.20	 which might ward off evil for all the Danaans. 
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.21	 Standing up he put on a khiton around his chest,
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.22	 and under his shining feet he fastened fine sandals,
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.23	 and then around himself he put on the red-gold skin of a lion
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.24	 that was big and tawny—the skin reached all the way to his feet—and he took a spear.
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.25	 In much the same way trembling held Menelaos—not for him either 
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.26	 did sleep sit on the eyelids—for fear that something would happen to 
